ID,Submission Year,Report Submission Title,Submission Year File Number,Date,Link,pdf_file,Company Name,text_file,Securities Done,Insiders Done,Third Party Providers Done,Transfer Agents Done,Financial Statements Done,Additional Securities Done,Reporting Year,file,Reporting Year/Period
ECEZ,2021,Annual Report - Amended Disclosure Statement,5,09/02/2021,https://www.otcmarkets.com/otcapi/company/financial-report/300611/content,ECEZ_2021_Annual_5.pdf,ECOSCIENCES INC,ECEZ_2021_Annual_5.txt,1,0,1,1,0,-3,0,ECEZ_2021_Annual_5.txt," May 31, 2020"
ECEZ,2021,Annual Report - Financial Statements 2020,6,08/27/2021,https://www.otcmarkets.com/otcapi/company/financial-report/299031/content,ECEZ_2021_Annual_6.pdf,ECOSCIENCES INC,ECEZ_2021_Annual_6.txt,-1,0,-1,-1,0,-1,0,ECEZ_2021_Annual_6.txt,-1
ECEZ,2022,Annual Report - Disclosure Statement Q4 2021-2022,1,09/26/2022,https://www.otcmarkets.com/otcapi/company/financial-report/347530/content,ECEZ_2022_Annual_1.pdf,ECOSCIENCES INC,ECEZ_2022_Annual_1.txt,1,0,1,1,0,-3,0,ECEZ_2022_Annual_1.txt," May 31, 2022"
ECEZ,2022,Notification of Late Filing - Annual Report 2021-2022,2,08/30/2022,https://www.otcmarkets.com/otcapi/company/financial-report/345886/content,ECEZ_2022_Annual_2.pdf,ECOSCIENCES INC,ECEZ_2022_Annual_2.txt,-1,0,-1,-1,0,-1,0,ECEZ_2022_Annual_2.txt," May 31, 2022"
ECGR,2008,Annual Report - Annual Report,1,02/26/2008,https://www.otcmarkets.com/otcapi/company/financial-report/13777/content,ECGR_2008_Annual_1.pdf,BELLATORA INC,ECGR_2008_Annual_1.txt,-1,0,-1,-1,0,-1,0,ECGR_2008_Annual_1.txt,-1
ECGR,2011,Annual Report - Profit and Loss,1,03/25/2011,https://www.otcmarkets.com/otcapi/company/financial-report/46300/content,ECGR_2011_Annual_1.pdf,BELLATORA INC,ECGR_2011_Annual_1.txt,-1,0,-1,-1,0,-1,0,ECGR_2011_Annual_1.txt,-1
ECGR,2011,Annual Report - Balance Sheet,2,03/24/2011,https://www.otcmarkets.com/otcapi/company/financial-report/46303/content,ECGR_2011_Annual_2.pdf,BELLATORA INC,ECGR_2011_Annual_2.txt,-1,0,-1,-1,0,-1,0,ECGR_2011_Annual_2.txt,-1
ECGR,2011,Annual Report - P & L,3,03/24/2011,https://www.otcmarkets.com/otcapi/company/financial-report/46302/content,ECGR_2011_Annual_3.pdf,BELLATORA INC,ECGR_2011_Annual_3.txt,-1,0,-1,-1,0,-1,0,ECGR_2011_Annual_3.txt,-1
ECGR,2016,Annual Report - 2014 and 2015,1,11/29/2016,https://www.otcmarkets.com/otcapi/company/financial-report/163479/content,ECGR_2016_Annual_1.pdf,BELLATORA INC,ECGR_2016_Annual_1.txt,-1,0,-1,-1,0,-1,0,ECGR_2016_Annual_1.txt,-1
ECGR,2017,Annual Report - 2016 annual financial statements,1,03/30/2017,https://www.otcmarkets.com/otcapi/company/financial-report/168441/content,ECGR_2017_Annual_1.pdf,BELLATORA INC,ECGR_2017_Annual_1.txt,-1,0,-1,-1,0,-1,0,ECGR_2017_Annual_1.txt,-1
ECGR,2017,Annual Report - 2016 annual disclosure statement,2,03/30/2017,https://www.otcmarkets.com/otcapi/company/financial-report/168439/content,ECGR_2017_Annual_2.pdf,BELLATORA INC,ECGR_2017_Annual_2.txt,-1,0,1,-1,0,-1,0,ECGR_2017_Annual_2.txt,-1
ECGR,2021,"Annual Report - Annual REport - Fiscal Year Ended December 31, 2020",1,09/21/2021,https://www.otcmarkets.com/otcapi/company/financial-report/303350/content,ECGR_2021_Annual_1.pdf,BELLATORA INC,ECGR_2021_Annual_1.txt,1,0,-5,1,0,1,0,ECGR_2021_Annual_1.txt, December 31. 2020
ECGR,2021,"Annual Report - Fiscal Year Ended December 31, 2019",2,09/21/2021,https://www.otcmarkets.com/otcapi/company/financial-report/303346/content,ECGR_2021_Annual_2.pdf,BELLATORA INC,ECGR_2021_Annual_2.txt,1,0,-5,1,0,1,0,ECGR_2021_Annual_2.txt, December 31. 2019
ECGR,2022,"Annual Report - Annual Report - Fiscal Year Eneded December 31, 2021",1,03/28/2022,https://www.otcmarkets.com/otcapi/company/financial-report/325082/content,ECGR_2022_Annual_1.pdf,BELLATORA INC,ECGR_2022_Annual_1.txt,1,0,-5,1,0,1,0,ECGR_2022_Annual_1.txt," December 31, 2021"
ECRO,2021,"Annual Report - Consolidated Financial Statements and Report for the Year End December 31, 2020",1,09/11/2021,https://www.otcmarkets.com/otcapi/company/financial-report/301672/content,ECRO_2021_Annual_1.pdf,ECC CAPITAL CORP,ECRO_2021_Annual_1.txt,-1,0,-1,-1,0,-1,0,ECRO_2021_Annual_1.txt,-1
ECRO,2021,"Annual Report - Consolidated Financial Statements and Report for the Year End December 31, 2019",2,09/11/2021,https://www.otcmarkets.com/otcapi/company/financial-report/301671/content,ECRO_2021_Annual_2.pdf,ECC CAPITAL CORP,ECRO_2021_Annual_2.txt,-1,0,-1,-1,0,-1,0,ECRO_2021_Annual_2.txt,-1
ECRO,2021,"Annual Report - Consolidated Financial Statements and Report for the Year End December 31, 2018",3,09/11/2021,https://www.otcmarkets.com/otcapi/company/financial-report/301670/content,ECRO_2021_Annual_3.pdf,ECC CAPITAL CORP,ECRO_2021_Annual_3.txt,-1,0,-1,-1,0,-1,0,ECRO_2021_Annual_3.txt,-1
ECRO,2022,Annual Report - Annual Report,1,04/20/2022,https://www.otcmarkets.com/otcapi/company/financial-report/328305/content,ECRO_2022_Annual_1.pdf,ECC CAPITAL CORP,ECRO_2022_Annual_1.txt,-1,0,-1,-1,0,-1,0,ECRO_2022_Annual_1.txt,-1
EDWZF,2010,"Annual Report - December 31, 2009 Annnual Financials",1,11/23/2010,https://www.otcmarkets.com/otcapi/company/financial-report/39907/content,EDWZF_2010_Annual_1.pdf,EDGEWATER EXPLOR ORD,EDWZF_2010_Annual_1.txt,-1,0,-1,-1,0,-1,0,EDWZF_2010_Annual_1.txt,-1
EDWZF,2010,"Annual Report - December 31, 2008 Annual Financials",2,11/22/2010,https://www.otcmarkets.com/otcapi/company/financial-report/39866/content,EDWZF_2010_Annual_2.pdf,EDGEWATER EXPLOR ORD,EDWZF_2010_Annual_2.txt,-1,0,-1,-1,0,-1,0,EDWZF_2010_Annual_2.txt,-1
EDWZF,2011,"Annual Report - December 31, 2010 - Management Discussion and Analysis",1,05/27/2011,https://www.otcmarkets.com/otcapi/company/financial-report/52406/content,EDWZF_2011_Annual_1.pdf,EDGEWATER EXPLOR ORD,EDWZF_2011_Annual_1.txt,-1,0,-1,-1,0,-1,0,EDWZF_2011_Annual_1.txt,-1
EDWZF,2011,"Annual Report - December 31, 2010 - Audited Financial Statements",2,05/27/2011,https://www.otcmarkets.com/otcapi/company/financial-report/52405/content,EDWZF_2011_Annual_2.pdf,EDGEWATER EXPLOR ORD,EDWZF_2011_Annual_2.txt,-1,0,-1,-1,0,-1,0,EDWZF_2011_Annual_2.txt,-1
EDWZF,2012,"Annual Report - Annual Management's Discussion & Analysis - December 31, 2011",1,06/07/2012,https://www.otcmarkets.com/otcapi/company/financial-report/83437/content,EDWZF_2012_Annual_1.pdf,EDGEWATER EXPLOR ORD,EDWZF_2012_Annual_1.txt,-1,0,-1,-1,0,-1,0,EDWZF_2012_Annual_1.txt,-1
EDWZF,2012,"Annual Report - Annual Audited Financial Statements - December 31, 2011",2,06/07/2012,https://www.otcmarkets.com/otcapi/company/financial-report/83436/content,EDWZF_2012_Annual_2.pdf,EDGEWATER EXPLOR ORD,EDWZF_2012_Annual_2.txt,-1,0,-1,-1,0,-1,0,EDWZF_2012_Annual_2.txt,-1
EDWZF,2013,"Annual Report - Annual Financials - Year Ending December 31, 2012",1,05/30/2013,https://www.otcmarkets.com/otcapi/company/financial-report/105597/content,EDWZF_2013_Annual_1.pdf,EDGEWATER EXPLOR ORD,EDWZF_2013_Annual_1.txt,-1,0,-1,-1,0,-1,0,EDWZF_2013_Annual_1.txt,-1
EEGI,2010,"Annual Report - December 31, 2009 Financials",1,04/26/2010,https://www.otcmarkets.com/otcapi/company/financial-report/31350/content,EEGI_2010_Annual_1.pdf,ELINE ENTMT GROUP INC,EEGI_2010_Annual_1.txt,-1,0,-1,-1,0,-1,0,EEGI_2010_Annual_1.txt,-1
EEGI,2010,"Annual Report - December 31, 2008 Financials",2,01/06/2010,https://www.otcmarkets.com/otcapi/company/financial-report/27698/content,EEGI_2010_Annual_2.pdf,ELINE ENTMT GROUP INC,EEGI_2010_Annual_2.txt,-1,0,-1,-1,0,-1,0,EEGI_2010_Annual_2.txt,-1
EEGI,2010,"Annual Report - December 31, 2007 Financials",3,01/06/2010,https://www.otcmarkets.com/otcapi/company/financial-report/27694/content,EEGI_2010_Annual_3.pdf,ELINE ENTMT GROUP INC,EEGI_2010_Annual_3.txt,-1,0,-1,-1,0,-1,0,EEGI_2010_Annual_3.txt,-1
EEGI,2014,Annual Report - Annual Report,1,09/12/2014,https://www.otcmarkets.com/otcapi/company/financial-report/126447/content,EEGI_2014_Annual_1.pdf,ELINE ENTMT GROUP INC,EEGI_2014_Annual_1.txt,-1,0,-1,-1,0,-1,0,EEGI_2014_Annual_1.txt,-1
EEGI,2015,Annual Report - Annual Report,1,10/13/2015,https://www.otcmarkets.com/otcapi/company/financial-report/145463/content,EEGI_2015_Annual_1.pdf,ELINE ENTMT GROUP INC,EEGI_2015_Annual_1.txt,-1,0,-1,-1,0,-1,0,EEGI_2015_Annual_1.txt,-1
EEGI,2016,Annual Report - Annual Report,1,03/17/2016,https://www.otcmarkets.com/otcapi/company/financial-report/151663/content,EEGI_2016_Annual_1.pdf,ELINE ENTMT GROUP INC,EEGI_2016_Annual_1.txt,-1,0,-1,-1,0,-1,0,EEGI_2016_Annual_1.txt,-1
EEGI,2018,Annual Report - Annual Report,1,10/18/2018,https://www.otcmarkets.com/otcapi/company/financial-report/204552/content,EEGI_2018_Annual_1.pdf,ELINE ENTMT GROUP INC,EEGI_2018_Annual_1.txt,-1,0,1,-1,0,-1,0,EEGI_2018_Annual_1.txt,-1
EEGI,2018,Annual Report - Annual Report,2,10/18/2018,https://www.otcmarkets.com/otcapi/company/financial-report/204551/content,EEGI_2018_Annual_2.pdf,ELINE ENTMT GROUP INC,EEGI_2018_Annual_2.txt,-1,0,1,-1,0,-1,0,EEGI_2018_Annual_2.txt,-1
EEGI,2018,Annual Report - Annual Report,3,10/12/2018,https://www.otcmarkets.com/otcapi/company/financial-report/204172/content,EEGI_2018_Annual_3.pdf,ELINE ENTMT GROUP INC,EEGI_2018_Annual_3.txt,-1,0,-1,-1,0,-1,0,EEGI_2018_Annual_3.txt,-1
EEGI,2018,Annual Report - Annual Report,4,10/12/2018,https://www.otcmarkets.com/otcapi/company/financial-report/204171/content,EEGI_2018_Annual_4.pdf,ELINE ENTMT GROUP INC,EEGI_2018_Annual_4.txt,-1,0,-1,-1,0,-1,0,EEGI_2018_Annual_4.txt,-1
EEGI,2018,Annual Report - Yr End 2003 See Filing --3/10/2018 Restating Financials to Bring EEGI into Full Compliance,5,03/15/2018,https://www.otcmarkets.com/otcapi/company/financial-report/188982/content,EEGI_2018_Annual_5.pdf,ELINE ENTMT GROUP INC,EEGI_2018_Annual_5.txt,-1,0,-1,-1,0,-1,0,EEGI_2018_Annual_5.txt,-1
EEGI,2021,Annual Report - 2020_AD,1,10/24/2021,https://www.otcmarkets.com/otcapi/company/financial-report/307817/content,EEGI_2021_Annual_1.pdf,ELINE ENTMT GROUP INC,EEGI_2021_Annual_1.txt,1,0,1,1,0,-3,0,EEGI_2021_Annual_1.txt,-1
EEGI,2021,Annual Report - 2019_AD,2,10/24/2021,https://www.otcmarkets.com/otcapi/company/financial-report/307816/content,EEGI_2021_Annual_2.pdf,ELINE ENTMT GROUP INC,EEGI_2021_Annual_2.txt,1,0,1,1,0,-3,0,EEGI_2021_Annual_2.txt,-1
