Other Flag,Trading symbol,Exact title and class of securities outstanding,CUSIP,Par/stated value,Total shares authorized,Authorized Date,Total shares oustanding,Outstanding Date,Number of shares in the Public Float, Public float Date,Total number of shareholders of Record,Shareholders Date,ID,Submission Year,Submission Year File Number,file,Link
True, N/A, Series A Convertible Super Preferred Stock, N/A, 0.001, 0 , 12/31/2020, 0 , 12/31/2020,None,None,None,None,CCWF,2021,2,CCWF_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/302956/content
True, N/A, Series A Convertible Super Preferred Stock, N/A, 0.001, 0 , 12/31/2019, 0 , 12/31/2019,None,None,None,None,CCWF,2021,3,CCWF_2021_Annual_3.txt,https://www.otcmarkets.com/otcapi/company/financial-report/302955/content
True, N/A, Series A Convertible Super Preferred Stock, N/A, 0.001," 500,000 ", 12/31/2021, 05 , 12/31/2021,None,None,None,None,CCWF,2022,1,CCWF_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/326441/content
True, NA, Preferred B, 208892307, $.0001," 10,000,000 "," September 6, 2021", 158 ," September 6, 2021",None,None,None,None,CDNO,2021,1,CDNO_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/304256/content
True, NA, Preferred B, 208892307, $.0001," 10,000,000 "," September 6, 2021", 158 ," September 6, 2021",None,None,None,None,CDNO,2021,2,CDNO_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/304255/content
True, NA, Preferred A, NA, $.0001," 10,000,000 "," June 30, 2022"," 700,000 "," June 30, 2022",None,None,None,None,CDNO,2022,1,CDNO_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/343318/content
True, NA,, 208892307, $.0001," 10,000,000 "," June 30, 2022", 158 ," June 30, 2022",None,None,None,None,CDNO,2022,1,CDNO_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/343318/content
True, NA, Preferred A, NA, $.0001," 10,000,000 "," March 22, 2022"," 700,000 "," March 22, 2022",None,None,None,None,CDNO,2022,2,CDNO_2022_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/330374/content
True, NA,, 208892307, $.0001," 10,000,000 "," March 22, 2021",,,None,None,None,None,CDNO,2022,2,CDNO_2022_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/330374/content
True, NA, Preferred A, NA, $.0001," 10,000,000 "," March 22, 2022"," 700,000 "," March 22, 2022",None,None,None,None,CDNO,2022,3,CDNO_2022_Annual_3.txt,https://www.otcmarkets.com/otcapi/company/financial-report/325415/content
True, NA, Preferred B, 208892307, $.0001," 10,000,000 "," March 22, 2021", 158 ," March 22, 2021",None,None,None,None,CDNO,2022,3,CDNO_2022_Annual_3.txt,https://www.otcmarkets.com/otcapi/company/financial-report/325415/content
